make,model,year,mileage,Mileage condition,price,Price level,color,state,price condition,color condition,price value condition,mileage color condition
Ford,Altima,2010,10284,BETTER,35653,Level4,silver,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2015,10303,BETTER,25373,Level3,red,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Fusion,2015,10338,BETTER,46394,Level5,white,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Altima,2018,10524,BETTER,12529,Level2,silver,NY,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2012,10603,BETTER,43674,Level5,white,NY,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Chevrolet,Accord,2016,10746,BETTER,10719,Level2,white,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2012,10838,BETTER,46879,Level5,white,FL,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Chevrolet,Fusion,2016,11007,BETTER,10037,Level2,silver,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Fusion,2010,11108,BETTER,27744,Level3,white,IL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Toyota,Camry,2013,11254,BETTER,38759,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Chevrolet,Altima,2012,11388,BETTER,44920,Level5,blue,TX,FALSE,TRUE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2018,11522,BETTER,19083,Level2,blue,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Accord,2012,11795,BETTER,30494,Level4,blue,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,11826,BETTER,15233,Level2,silver,FL,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Nissan,Fusion,2010,11982,BETTER,37310,Level4,silver,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Toyota,Camry,2014,12039,BETTER,45041,Level5,black,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Honda,Camry,2016,12078,BETTER,22661,Level3,silver,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Honda,Altima,2018,12079,BETTER,49217,Level5,silver,NY,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Toyota,Accord,2011,12147,BETTER,24688,Level3,silver,TX,FALSE,FALSE,NOT ELIGIBLE,ELIGIBLE
Ford,Camry,2010,12159,BETTER,36923,Level4,red,TX,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2018,12416,BETTER,32626,Level4,red,CA,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Ford,Cruze,2012,12602,BETTER,23578,Level3,black,IL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2017,12636,BETTER,20570,Level3,blue,NY,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
Nissan,Camry,2010,12725,BETTER,49989,Level5,red,TX,TRUE,TRUE,ELIGIBLE,NOT ELIGIBLE
Nissan,Altima,2015,13040,BETTER,11644,Level2,red,FL,FALSE,FALSE,NOT ELIGIBLE,NOT ELIGIBLE
