Age,Job,Marital,Education,Default,Housing,Loan,Contact,Day_Of_Week,Month,Output
56,Housemaid,Married,Basic 4Y,No,No,No,Telephone,Mon,May,No
57,Services,Married,High School,Unknown,No,No,Telephone,Mon,May,No
37,Services,Married,High School,No,Yes,No,Telephone,Mon,May,No
40,Admin ,Married,Basic 6Y,No,No,No,Telephone,Mon,May,No
56,Services,Married,High School,No,No,Yes,Telephone,Mon,May,No
45,Services,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
59,Admin ,Married,Professional Course,No,No,No,Telephone,Mon,May,No
41,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
24,Technician,Single,Professional Course,No,Yes,No,Telephone,Mon,May,No
25,Services,Single,High School,No,Yes,No,Telephone,Mon,May,No
41,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,Mon,May,No
25,Services,Single,High School,No,Yes,No,Telephone,Mon,May,No
29,Blue-Collar,Single,High School,No,No,Yes,Telephone,Mon,May,No
57,Housemaid,Divorced,Basic 4Y,No,Yes,No,Telephone,Mon,May,No
35,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,May,No
54,Retired,Married,Basic 9Y,Unknown,Yes,Yes,Telephone,Mon,May,No
35,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,Mon,May,No
46,Blue-Collar,Married,Basic 6Y,Unknown,Yes,Yes,Telephone,Mon,May,No
50,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,Mon,May,No
39,Management,Single,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
30,Unemployed,Married,High School,No,No,No,Telephone,Mon,May,No
55,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,Mon,May,No
55,Retired,Single,High School,No,Yes,No,Telephone,Mon,May,No
41,Technician,Single,High School,No,Yes,No,Telephone,Mon,May,No
37,Admin ,Married,High School,No,Yes,No,Telephone,Mon,May,No
35,Technician,Married,University Degree,No,No,Yes,Telephone,Mon,May,No
59,Technician,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
39,Self-Employed,Married,Basic 9Y,Unknown,No,No,Telephone,Mon,May,No
54,Technician,Single,University Degree,Unknown,No,No,Telephone,Mon,May,No
55,Unknown,Married,University Degree,Unknown,Unknown,Unknown,Telephone,Mon,May,No
46,Admin ,Married,Unknown,No,No,No,Telephone,Mon,May,No
59,Technician,Married,Unknown,No,Yes,No,Telephone,Mon,May,No
49,Blue-Collar,Married,Unknown,No,No,No,Telephone,Mon,May,No
